participant_id,session_id,started_at,experiment,session,condition,task,range,block_name,stimulus_index,type,ascii_art,image_path,true_value,sample_id,response,user_agent
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,1,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_000_0.4873_blurred.png,0.4873,sample_001,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,2,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_001_0.7754_blurred.png,0.7754,sample_002,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,3,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_002_0.666_blurred.png,0.666,sample_003,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,4,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_003_0.5993_blurred.png,0.5993,sample_004,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,5,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_004_0.378_blurred.png,0.378,sample_005,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,6,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_005_0.378_blurred.png,0.378,sample_006,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,7,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_006_0.329_blurred.png,0.329,sample_007,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,8,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_007_0.7331_blurred.png,0.7331,sample_008,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,9,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_008_0.6006_blurred.png,0.6006,sample_009,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
P-mfd89c27-np1g7n,fef761ee-2d33-42f3-98ec-3b7b6d9e830a,2025-09-10T03:07:46.462Z,perception-study,Image - Noised,Image - Noised,Line length ratio,Range 2,Image - Noised | Line length ratio | Range 2,10,image,"",experiments/line_length_ratio/0.3_0.8/blurred/sample_009_0.654_blurred.png,0.654,sample_010,0.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
